verification_id,date,campaign_key,placement_key,segment_key,measured_impressions,risky_impressions,blocked_impressions
1,2025-01-01,104,303,905,74517,903,557
2,2025-01-01,104,303,904,83926,2678,1458
3,2025-01-01,104,303,905,83412,3266,1716
4,2025-01-01,103,304,903,37438,1202,531
5,2025-01-01,101,301,901,58352,1908,1304
6,2025-01-01,101,301,905,51806,2522,1349
7,2025-01-01,101,301,905,54376,964,437
8,2025-01-01,101,305,901,70625,767,362
9,2025-01-01,101,305,901,70226,1704,1179
10,2025-01-01,101,305,901,67169,1751,1004
11,2025-01-01,105,303,905,13805,406,232
12,2025-01-01,103,306,903,67559,3100,1801
13,2025-01-01,101,305,902,79300,1153,745
14,2025-01-01,103,301,904,82753,2310,1131
15,2025-01-01,103,301,904,92036,1938,888
16,2025-01-01,103,301,905,92526,1821,802
17,2025-01-01,104,301,905,62630,2341,985
18,2025-01-01,104,301,901,59903,1604,578
19,2025-01-01,104,301,901,61176,2321,1455
20,2025-01-01,103,304,905,57784,1188,826
21,2025-01-01,103,304,904,60644,2969,1370
22,2025-01-01,103,304,901,54124,1005,562
23,2025-01-01,104,304,901,76616,3798,1852
24,2025-01-01,104,304,901,84806,3260,1013
25,2025-01-01,104,304,905,82235,1799,540
26,2025-01-01,102,305,904,58625,1047,486
27,2025-01-01,104,303,905,48741,997,360
28,2025-01-01,106,305,902,85356,1040,404
29,2025-01-01,106,305,902,81640,2948,1652
30,2025-01-01,106,305,905,78950,3456,1814
31,2025-01-01,105,303,905,35512,1476,810
32,2025-01-01,102,304,902,13953,203,138
33,2025-01-01,104,304,901,48304,1943,727
34,2025-01-01,106,301,903,42640,1815,618
35,2025-01-01,102,301,905,61522,2058,1319
36,2025-01-01,102,301,901,69051,976,570
37,2025-01-01,102,301,903,65885,2579,1566
38,2025-01-01,104,305,903,76365,1333,900
39,2025-01-01,104,305,905,73715,3622,1700
40,2025-01-01,101,304,902,56842,1768,1036
41,2025-01-01,101,304,903,57096,1518,871
42,2025-01-01,105,303,901,74412,1399,943
43,2025-01-01,105,303,904,83129,2732,1232
44,2025-01-01,105,303,903,73646,3263,1853
45,2025-01-01,106,301,903,13176,545,269
46,2025-01-01,106,301,903,12592,591,188
47,2025-01-01,106,301,902,13227,422,256
48,2025-01-01,106,305,905,87156,1602,811
49,2025-01-01,106,305,903,78310,2380,1005
50,2025-01-01,105,301,902,10527,184,113
51,2025-01-01,105,301,903,10643,386,192
52,2025-01-01,101,305,905,69581,2368,903
53,2025-01-01,101,305,904,83043,1071,660
54,2025-01-01,102,305,905,24112,939,590
55,2025-01-01,106,305,904,51059,1743,1077
56,2025-01-01,106,305,904,57658,2085,896
57,2025-01-01,106,305,902,51432,2414,979
58,2025-01-01,104,304,904,49288,2199,707
59,2025-01-01,106,305,904,33131,1491,1035
60,2025-01-01,103,305,902,87793,4055,2419
61,2025-01-01,103,305,903,81413,2886,1819
62,2025-01-01,103,305,901,87401,3265,2022
63,2025-01-01,106,303,905,55434,989,499
64,2025-01-01,106,303,904,53720,1844,592
65,2025-01-01,104,306,903,45950,1167,500
66,2025-01-01,104,302,901,73937,2252,1472
67,2025-01-01,104,302,901,87908,3799,1151
68,2025-01-01,104,302,902,78703,3127,1989
69,2025-01-01,101,306,901,66087,1357,894
70,2025-01-01,101,306,902,63565,2654,1426
71,2025-01-01,101,306,903,65250,2873,1041
72,2025-01-02,103,306,905,75348,1248,500
73,2025-01-02,103,306,902,73612,2976,1615
74,2025-01-02,103,306,901,72082,1622,739
75,2025-01-02,106,304,902,49061,1403,534
76,2025-01-02,101,305,904,69440,738,387
77,2025-01-02,101,305,904,67205,1027,659
78,2025-01-02,106,304,902,37162,959,435
79,2025-01-02,106,304,905,39739,1509,1013
80,2025-01-02,103,305,904,39644,1871,1296
81,2025-01-02,103,305,903,38048,1783,1236
82,2025-01-02,102,301,901,13087,478,289
83,2025-01-02,102,301,904,12003,132,43
84,2025-01-02,104,305,905,43712,986,501
85,2025-01-02,104,305,903,39286,872,393
86,2025-01-02,104,305,904,40204,757,528
87,2025-01-02,101,302,904,19032,634,287
88,2025-01-02,101,302,903,17830,498,251
89,2025-01-02,106,301,904,96105,4231,1992
90,2025-01-02,106,301,901,95806,1504,592
91,2025-01-02,106,301,905,83798,1846,909
92,2025-01-02,102,301,902,67821,1527,807
93,2025-01-02,102,301,903,62942,1031,543
94,2025-01-02,102,301,902,65269,1201,626
95,2025-01-02,105,305,903,9856,233,146
96,2025-01-02,101,305,904,59760,1378,809
97,2025-01-02,101,305,904,55410,2476,993
98,2025-01-02,101,305,902,65578,3184,1891
